cpu_percent,disk_percent,disk_used_gb,id,mem_percent,mem_used_mb,ts
62.1,85.8,265.72,77,70.8,11369.93,2026-07-17T15:22:09
62.1,85.8,265.72,78,70.8,11369.22,2026-07-17T15:22:12
59.4,85.8,265.72,79,70.8,11368.59,2026-07-17T15:22:15
78.3,85.8,265.72,80,70.9,11387.89,2026-07-17T15:22:18
76.1,85.8,265.72,81,70.9,11387.62,2026-07-17T15:22:21
76.9,85.8,265.72,82,70.9,11387.3,2026-07-17T15:22:24
76.9,85.8,265.72,83,70.9,11387.54,2026-07-17T15:22:27
77.6,85.8,265.72,84,70.9,11387.17,2026-07-17T15:22:30
91.1,85.8,265.72,85,71.0,11403.06,2026-07-17T15:22:33
91.7,85.8,265.72,86,71.0,11403.02,2026-07-17T15:22:36
90.6,85.8,265.72,87,71.0,11402.64,2026-07-17T15:22:39
90.6,85.8,265.72,88,71.0,11402.3,2026-07-17T15:22:42
91.1,85.8,265.72,89,71.0,11401.52,2026-07-17T15:22:45
100.0,85.8,265.72,90,71.0,11399.58,2026-07-17T15:22:49
100.0,85.8,265.72,91,71.0,11399.82,2026-07-17T15:22:52
100.0,85.8,265.72,92,71.0,11400.71,2026-07-17T15:22:56
100.0,85.8,265.72,93,71.1,11408.15,2026-07-17T15:22:59
93.7,85.8,265.72,94,71.1,11410.79,2026-07-17T15:23:02
90.0,85.8,265.72,95,71.0,11399.88,2026-07-17T15:23:05
90.9,85.8,265.72,96,70.9,11387.15,2026-07-17T15:23:08
92.5,85.8,265.72,97,70.9,11386.48,2026-07-17T15:23:11
91.4,85.8,265.72,98,70.9,11386.64,2026-07-17T15:23:14
76.9,85.8,265.72,99,70.9,11374.13,2026-07-17T15:23:17
78.8,85.8,265.72,100,70.8,11373.71,2026-07-17T15:23:20
77.3,85.8,265.72,101,70.8,11373.12,2026-07-17T15:23:23
78.6,85.8,265.72,102,70.8,11373.18,2026-07-17T15:23:26
77.9,85.8,265.72,103,70.8,11368.25,2026-07-17T15:23:29
64.4,85.8,265.72,104,70.7,11351.88,2026-07-17T15:23:32
62.4,85.8,265.72,105,70.7,11351.05,2026-07-17T15:23:35
63.0,85.8,265.72,106,70.7,11350.39,2026-07-17T15:23:38
63.7,85.8,265.72,107,70.7,11350.55,2026-07-17T15:23:41
63.9,85.8,265.72,108,70.7,11349.35,2026-07-17T15:23:45
45.5,85.8,265.72,109,70.6,11334.58,2026-07-17T15:23:48
46.4,85.8,265.72,110,70.6,11338.73,2026-07-17T15:23:51
44.6,85.8,265.72,111,70.6,11338.47,2026-07-17T15:23:54
45.0,85.8,265.72,112,70.6,11338.69,2026-07-17T15:23:57
44.5,85.8,265.72,113,70.6,11339.06,2026-07-17T15:24:00
26.3,85.8,265.72,114,70.5,11319.36,2026-07-17T15:24:03
25.5,85.8,265.72,115,70.5,11318.75,2026-07-17T15:24:06
25.9,85.8,265.72,116,70.5,11318.52,2026-07-17T15:24:09
26.9,85.8,265.72,117,70.4,11304.27,2026-07-17T15:24:12
25.3,85.8,265.72,118,70.4,11303.09,2026-07-17T15:24:15
11.6,85.8,265.72,119,70.3,11280.72,2026-07-17T15:24:18
11.3,85.8,265.72,120,70.3,11280.58,2026-07-17T15:24:21
11.2,85.8,265.72,121,70.3,11280.24,2026-07-17T15:24:24
11.9,85.8,265.72,122,70.3,11280.82,2026-07-17T15:24:27
10.9,85.8,265.72,123,70.3,11280.41,2026-07-17T15:24:30
3.9,85.8,265.72,124,70.2,11267.34,2026-07-17T15:24:33
4.0,85.8,265.72,125,70.3,11279.56,2026-07-17T15:24:36
4.3,85.8,265.72,126,70.6,11341.32,2026-07-17T15:24:39
4.6,85.8,265.72,127,70.6,11333.75,2026-07-17T15:24:42
4.1,85.8,265.72,128,70.6,11333.18,2026-07-17T15:24:45
0.2,85.8,265.72,129,70.6,11326.16,2026-07-17T15:24:48
0.7,85.8,265.72,130,70.5,11325.74,2026-07-17T15:24:51
0.2,85.8,265.72,131,70.6,11325.99,2026-07-17T15:24:54
0.0,85.8,265.72,132,70.5,11325.59,2026-07-17T15:24:57
0.8,85.8,265.72,133,70.9,11375.1,2026-07-17T15:25:00
4.1,85.8,265.72,134,70.6,11337.08,2026-07-17T15:25:03
4.9,85.8,265.72,135,70.6,11337.05,2026-07-17T15:25:06
4.5,85.8,265.72,136,70.7,11346.2,2026-07-17T15:25:09
4.1,85.8,265.72,137,70.7,11343.66,2026-07-17T15:25:12
4.6,85.8,265.72,138,70.1,11249.9,2026-07-17T15:25:15
11.4,85.8,265.72,139,70.1,11252.08,2026-07-17T15:25:18
13.8,85.8,265.72,140,70.1,11252.08,2026-07-17T15:25:21
12.7,85.8,265.72,141,70.1,11247.42,2026-07-17T15:25:24
12.1,85.8,265.72,142,70.1,11251.67,2026-07-17T15:25:27
13.2,85.8,265.72,143,70.1,11252.68,2026-07-17T15:25:30
27.2,85.8,265.72,144,70.2,11271.84,2026-07-17T15:25:33
27.9,85.8,265.72,145,70.2,11270.75,2026-07-17T15:25:36
26.9,85.8,265.72,146,70.2,11269.54,2026-07-17T15:25:39
26.6,85.8,265.72,147,70.2,11269.21,2026-07-17T15:25:42
26.5,85.8,265.72,148,70.2,11267.35,2026-07-17T15:25:45
45.2,85.8,265.72,149,70.4,11297.93,2026-07-17T15:25:48
46.8,85.8,265.72,150,70.4,11296.23,2026-07-17T15:25:51
46.1,85.8,265.72,151,70.2,11263.23,2026-07-17T15:25:54
45.4,85.8,265.72,152,70.2,11262.11,2026-07-17T15:25:57
40.7,85.8,265.72,153,70.5,11311.3,2026-07-17T15:26:00
61.9,85.8,265.72,154,70.4,11298.14,2026-07-17T15:26:03
62.6,85.8,265.72,155,69.9,11215.68,2026-07-17T15:26:06
62.3,85.8,265.72,156,70.0,11232.65,2026-07-17T15:26:09
62.3,85.8,265.72,157,70.0,11232.9,2026-07-17T15:26:12
61.8,85.8,265.72,158,70.0,11233.23,2026-07-17T15:26:15
76.4,85.8,265.72,159,70.1,11258.04,2026-07-17T15:26:18
77.9,85.8,265.72,160,70.1,11258.42,2026-07-17T15:26:21
74.8,85.8,265.72,161,70.1,11258.09,2026-07-17T15:26:24
77.0,85.8,265.72,162,70.1,11259.9,2026-07-17T15:26:27
76.5,85.8,265.72,163,70.1,11259.72,2026-07-17T15:26:30
91.0,85.8,265.72,164,70.2,11273.82,2026-07-17T15:26:33
89.4,85.8,265.72,165,70.2,11273.51,2026-07-17T15:26:36
90.2,85.8,265.72,166,70.2,11274.72,2026-07-17T15:26:39
90.1,85.8,265.72,167,70.2,11274.97,2026-07-17T15:26:42
90.3,85.8,265.72,168,70.2,11273.82,2026-07-17T15:26:45
100.0,85.8,265.72,169,70.3,11277.81,2026-07-17T15:26:49
100.0,85.8,265.72,170,70.3,11278.47,2026-07-17T15:26:52
100.0,85.8,265.72,171,70.3,11280.27,2026-07-17T15:26:56
100.0,85.8,265.72,172,70.5,11319.91,2026-07-17T15:26:59
91.7,85.8,265.72,173,71.5,11480.73,2026-07-17T15:27:03
95.0,85.8,265.72,174,71.7,11518.3,2026-07-17T15:27:06
97.4,85.8,265.72,175,72.3,11599.93,2026-07-17T15:27:09
23.3,85.8,265.73,176,74.1,11901.02,2026-07-17T15:27:13
69.7,85.8,265.73,177,74.6,11968.34,2026-07-17T15:27:18
81.5,85.8,265.73,178,72.4,11628.79,2026-07-17T15:27:21
72.4,85.8,265.73,179,71.1,11421.52,2026-07-17T15:27:24
81.1,85.8,265.73,180,70.6,11329.43,2026-07-17T15:27:27
76.2,85.8,265.73,181,70.1,11256.5,2026-07-17T15:27:30
57.2,85.8,265.73,182,70.1,11250.57,2026-07-17T15:27:33
62.5,85.8,265.73,183,69.8,11208.19,2026-07-17T15:27:36
60.9,85.8,265.73,184,69.5,11161.02,2026-07-17T15:27:39
63.3,85.8,265.73,185,69.5,11158.36,2026-07-17T15:27:42
56.4,85.8,265.73,186,69.5,11163.53,2026-07-17T15:27:45
42.6,85.8,265.73,187,69.4,11136.09,2026-07-17T15:27:48
45.3,85.8,265.73,188,69.3,11129.0,2026-07-17T15:27:51
45.4,85.8,265.73,189,69.2,11107.66,2026-07-17T15:27:54
42.8,85.8,265.73,190,68.5,10990.27,2026-07-17T15:27:57
41.3,85.8,265.73,191,68.7,11035.88,2026-07-17T15:28:00
24.0,85.7,265.58,192,68.3,10962.25,2026-07-17T15:28:03
27.4,85.7,265.58,193,68.3,10962.1,2026-07-17T15:28:06
25.8,85.7,265.58,194,68.3,10961.93,2026-07-17T15:28:09
27.4,85.7,265.58,195,68.3,10961.56,2026-07-17T15:28:13
26.9,85.7,265.58,196,68.3,10961.35,2026-07-17T15:28:16
12.9,85.7,265.58,197,68.1,10940.37,2026-07-17T15:28:19
11.6,85.7,265.58,198,68.1,10939.39,2026-07-17T15:28:22
12.4,85.7,265.58,199,68.1,10938.78,2026-07-17T15:28:25
12.7,85.7,265.58,200,68.1,10936.64,2026-07-17T15:28:28
11.1,85.7,265.58,201,68.1,10935.32,2026-07-17T15:28:31
4.3,85.7,265.58,202,68.0,10920.51,2026-07-17T15:28:34
3.8,85.7,265.58,203,68.0,10920.05,2026-07-17T15:28:37
3.9,85.7,265.58,204,68.0,10919.66,2026-07-17T15:28:40
4.5,85.7,265.58,205,68.0,10919.66,2026-07-17T15:28:43
3.3,85.7,265.58,206,68.0,10918.29,2026-07-17T15:28:46
0.5,85.7,265.58,207,68.0,10911.33,2026-07-17T15:28:49
0.2,85.7,265.58,208,68.0,10917.34,2026-07-17T15:28:52
0.1,85.7,265.58,209,68.0,10917.32,2026-07-17T15:28:55
0.2,85.7,265.58,210,68.0,10916.08,2026-07-17T15:28:58
0.9,85.7,265.58,211,68.0,10922.15,2026-07-17T15:29:01
3.8,85.7,265.58,212,68.0,10921.07,2026-07-17T15:29:04
4.3,85.7,265.58,213,68.0,10920.77,2026-07-17T15:29:07
3.0,85.7,265.58,214,68.0,10920.64,2026-07-17T15:29:10
2.8,85.7,265.58,215,68.0,10920.27,2026-07-17T15:29:13
3.7,85.7,265.58,216,68.0,10920.08,2026-07-17T15:29:16
12.4,85.7,265.58,217,68.1,10939.01,2026-07-17T15:29:19
14.3,85.7,265.58,218,68.1,10938.5,2026-07-17T15:29:22
14.1,85.7,265.58,219,68.1,10938.71,2026-07-17T15:29:25
13.3,85.7,265.58,220,68.1,10938.36,2026-07-17T15:29:28
13.6,85.7,265.58,221,68.1,10938.61,2026-07-17T15:29:31
26.7,85.7,265.58,222,68.3,10962.79,2026-07-17T15:29:34
26.5,85.7,265.58,223,68.3,10960.64,2026-07-17T15:29:37
25.3,85.7,265.58,224,68.3,10959.75,2026-07-17T15:29:40
25.5,85.7,265.58,225,68.3,10959.95,2026-07-17T15:29:43
20.5,85.7,265.58,226,68.4,10974.82,2026-07-17T15:29:46
40.6,85.7,265.58,227,68.6,11009.98,2026-07-17T15:29:49
41.5,85.7,265.58,228,68.6,11011.52,2026-07-17T15:29:52
43.0,85.7,265.58,229,68.5,11004.45,2026-07-17T15:29:55
43.3,85.7,265.58,230,68.5,10994.11,2026-07-17T15:29:58
44.1,85.7,265.58,231,68.5,11002.48,2026-07-17T15:30:01
59.9,85.7,265.58,232,68.7,11022.72,2026-07-17T15:30:04
64.9,85.7,265.58,233,68.7,11022.24,2026-07-17T15:30:07
63.8,85.7,265.58,234,68.7,11022.41,2026-07-17T15:30:10
62.3,85.7,265.58,235,68.7,11022.39,2026-07-17T15:30:13
65.4,85.7,265.58,236,68.7,11022.65,2026-07-17T15:30:16
74.0,85.7,265.58,237,68.8,11049.04,2026-07-17T15:30:19
78.5,85.7,265.58,238,68.8,11048.45,2026-07-17T15:30:22
77.4,85.7,265.58,239,68.8,11047.43,2026-07-17T15:30:25
76.6,85.7,265.58,240,68.8,11047.29,2026-07-17T15:30:28
77.3,85.7,265.58,241,68.8,11044.15,2026-07-17T15:30:31
84.7,85.7,265.58,242,68.9,11057.68,2026-07-17T15:30:34
91.7,85.7,265.58,243,68.9,11057.02,2026-07-17T15:30:37
91.5,85.7,265.58,244,68.9,11056.9,2026-07-17T15:30:40
91.0,85.7,265.58,245,68.9,11056.95,2026-07-17T15:30:43
90.5,85.7,265.58,246,68.9,11057.14,2026-07-17T15:30:46
93.5,85.7,265.58,247,68.9,11061.08,2026-07-17T15:30:50
100.0,85.7,265.58,248,68.9,11055.53,2026-07-17T15:30:53
100.0,85.7,265.58,249,68.9,11057.11,2026-07-17T15:30:56
100.0,85.7,265.58,250,68.9,11058.07,2026-07-17T15:31:00
100.0,85.7,265.58,251,68.8,11050.23,2026-07-17T15:31:03
91.2,85.7,265.58,252,68.7,11024.53,2026-07-17T15:31:06
91.3,85.7,265.58,253,68.4,10982.14,2026-07-17T15:31:09
89.4,85.7,265.58,254,68.3,10965.11,2026-07-17T15:31:12
89.9,85.7,265.58,255,68.3,10965.65,2026-07-17T15:31:15
89.8,85.7,265.58,256,68.3,10965.29,2026-07-17T15:31:18
77.6,85.7,265.52,257,68.2,10952.23,2026-07-17T15:31:21
78.1,85.7,265.52,258,68.2,10952.3,2026-07-17T15:31:24
78.3,85.7,265.52,259,68.2,10951.87,2026-07-17T15:31:27
78.3,85.7,265.52,260,68.2,10950.91,2026-07-17T15:31:30
77.1,85.7,265.52,261,68.3,10957.82,2026-07-17T15:31:33
61.1,85.7,265.52,262,68.1,10936.45,2026-07-17T15:31:37
61.9,85.7,265.52,263,68.1,10936.18,2026-07-17T15:31:40
62.4,85.7,265.52,264,68.1,10926.82,2026-07-17T15:31:43
62.5,85.7,265.52,265,68.1,10926.59,2026-07-17T15:31:46
63.1,85.7,265.52,266,68.1,10925.8,2026-07-17T15:31:49
45.4,85.7,265.52,267,67.9,10897.97,2026-07-17T15:31:52
45.5,85.7,265.52,268,67.9,10897.62,2026-07-17T15:31:55
45.2,85.7,265.52,269,67.9,10893.14,2026-07-17T15:31:58
37.2,85.7,265.52,270,67.9,10895.84,2026-07-17T15:32:01
39.9,85.7,265.52,271,67.9,10896.64,2026-07-17T15:32:04
21.6,85.7,265.52,272,67.8,10884.62,2026-07-17T15:32:07
19.8,85.7,265.52,273,67.8,10888.61,2026-07-17T15:32:10
14.1,85.7,265.52,274,67.8,10885.13,2026-07-17T15:32:13
21.5,85.7,265.52,275,67.6,10858.35,2026-07-17T15:32:16
23.8,85.7,265.52,276,67.7,10875.14,2026-07-17T15:32:19
12.2,85.7,265.52,277,67.6,10854.96,2026-07-17T15:32:22
6.3,85.7,265.52,278,67.6,10854.79,2026-07-17T15:32:25
12.8,85.7,265.52,279,67.7,10862.89,2026-07-17T15:32:28
12.9,85.7,265.52,280,67.7,10863.02,2026-07-17T15:32:31
11.6,85.7,265.52,281,67.7,10862.89,2026-07-17T15:32:34
2.3,85.7,265.52,282,67.6,10856.85,2026-07-17T15:32:37
3.7,85.7,265.52,283,67.6,10849.25,2026-07-17T15:32:40
4.7,85.7,265.52,284,67.5,10839.54,2026-07-17T15:32:43
3.9,85.7,265.52,285,67.5,10838.84,2026-07-17T15:32:46
