ts,mem_percent_lag_0,mem_percent_lag_1,mem_percent_lag_3,mem_percent_lag_5,mem_percent_lag_10,mem_percent_lag_20,mem_percent_roll_mean,mem_percent_roll_std,mem_percent_roll_max,mem_percent_roll_min,mem_percent_delta,mem_percent_ewma_fast,mem_percent_ewma_slow,mem_percent_trend,mem_percent_headroom,mem_percent_level_x_vol,mem_percent_slope_x_vol,mem_percent_steps_to_saturation,mem_percent_zscore_local,cpu_percent_now,disk_percent_now,hour,minute,second_of_minute,dayofweek,__target__
2026-07-17 15:20:37,70.5,70.6,72.3,72.3,72.4,73.5,71.81,0.8157477823717261,72.4,70.5,-0.09999999999999432,70.78808574676513,71.61813130175412,-0.8300455549889847,29.5,57.510218657206686,-0.08157477823716797,590.0,-1.6058885213163248,3.6,85.8,15.0,20.0,37.0,4.0,70.5
2026-07-17 15:20:40,70.5,70.5,70.8,72.3,72.3,73.5,71.63,0.8907549856410464,72.4,70.5,0.0,70.64404287338257,71.41483470143518,-0.7707918280526087,29.5,62.79822648769377,0.0,590.0,-1.2685867811189095,4.4,85.8,15.0,20.0,40.0,4.0,70.5
2026-07-17 15:20:43,70.5,70.5,70.6,72.3,72.4,74.2,71.44,0.9106774035481834,72.3,70.5,0.0,70.57202143669129,71.24850111935605,-0.6764796826647625,29.5,64.20275695014693,0.0,590.0,-1.0321986647934467,3.9,85.8,15.0,20.0,43.0,4.0,70.5
2026-07-17 15:20:46,70.5,70.5,70.5,70.8,72.3,71.7,71.26,0.8996295533903124,72.3,70.5,0.0,70.53601071834564,71.11241000674585,-0.5763992884002107,29.5,63.42388351401702,0.0,590.0,-0.8447921671046663,0.2,85.8,15.0,20.0,46.0,4.0,70.7
2026-07-17 15:20:49,70.7,70.5,70.5,70.6,72.3,72.2,71.1,0.8339997335464007,72.3,70.5,0.20000000000000284,70.61800535917283,71.0374263691557,-0.41942100998286946,29.299999999999997,58.96378116173053,0.1667999467092825,146.4999999999979,-0.47961646018647913,3.6,85.8,15.0,20.0,49.0,4.0,70.6
2026-07-17 15:20:52,70.6,70.7,70.5,70.5,72.3,72.7,70.92999999999999,0.7288499312081513,72.3,70.5,-0.10000000000000853,70.60900267958641,70.95789430203646,-0.34889162245005423,29.400000000000006,51.45680514329548,-0.07288499312082135,588.0000000000001,-0.4527681020055609,1.4,85.8,15.0,20.0,52.0,4.0,70.7
2026-07-17 15:20:55,70.7,70.6,70.5,70.5,72.3,72.8,70.77000000000001,0.5478239782183777,72.3,70.5,0.10000000000000853,70.6545013397932,70.91100442893892,-0.25650308914572406,29.299999999999997,38.7311552600393,0.05478239782184244,292.999999999975,-0.1277782696326291,0.3,85.8,15.0,20.0,55.0,4.0,70.6
2026-07-17 15:20:58,70.6,70.7,70.7,70.5,72.3,72.9,70.6,0.10540925533843648,70.8,70.5,-0.10000000000000853,70.6272506698966,70.85445816913185,-0.22720749923524863,29.400000000000006,7.441893426893615,-0.010540925533844546,588.0000000000001,0.0,0.9,85.8,15.0,20.0,58.0,4.0,70.6
2026-07-17 15:21:01,70.6,70.6,70.6,70.5,70.8,72.8,70.58,0.07888106377397555,70.7,70.5,0.0,70.6136253349483,70.8081930474715,-0.19456771252320948,29.400000000000006,5.569003102442673,0.0,588.0000000000001,0.25354627642070954,4.6,85.8,15.0,21.0,1.0,4.0,70.8
2026-07-17 15:21:04,70.8,70.6,70.7,70.7,70.6,73.2,70.6,0.10540925533843648,70.8,70.5,0.20000000000000284,70.70681266747414,70.80670340247669,-0.0998907350025462,29.200000000000003,7.462975277961302,0.021081851067687597,145.99999999999795,1.8973665961102255,5.2,85.8,15.0,21.0,4.0,4.0,70.9
