ts,column_name,mean,max,p95,samples
2026-07-17T15:30:00,disk_used_gb,265.58,265.58,265.58,20
2026-07-17T15:30:00,mem_percent,68.805,68.9,68.9,20
2026-07-17T15:30:00,mem_used_mb,11043.4365,11061.08,11058.2205,20
2026-07-17T15:31:00,cpu_percent,72.86,100.0,91.735,20
2026-07-17T15:31:00,disk_percent,85.7,85.7,85.7,20
2026-07-17T15:31:00,disk_used_gb,265.53799999999995,265.58,265.58,20
2026-07-17T15:31:00,mem_percent,68.215,68.8,68.705,20
2026-07-17T15:31:00,mem_used_mb,10950.28925,11050.23,11025.815,20
2026-07-17T15:32:00,cpu_percent,13.994444444444445,39.9,37.605,18
2026-07-17T15:32:00,disk_percent,85.7,85.7,85.7,18
2026-07-17T15:32:00,disk_used_gb,265.52,265.52,265.52,18
2026-07-17T15:32:00,mem_percent,67.67222222222222,67.9,67.9,18
2026-07-17T15:32:00,mem_used_mb,10864.057777777778,10896.64,10895.96,18
2026-07-17T15:59:00,cpu_percent,1.5777777777777777,8.1,5.779999999999998,9
2026-07-17T15:59:00,disk_percent,85.7,85.7,85.7,9
2026-07-17T15:59:00,disk_used_gb,265.5055555555556,265.55,265.55,9
2026-07-17T15:59:00,mem_percent,67.75555555555555,68.4,68.16,9
2026-07-17T15:59:00,mem_used_mb,10877.802222222223,10985.02,10944.192000000001,9
2026-07-17T16:00:00,cpu_percent,1.457142857142857,5.3,4.324999999999999,14
2026-07-17T16:00:00,disk_percent,85.7,85.7,85.7,14
2026-07-17T16:00:00,disk_used_gb,265.48357142857145,265.49,265.49,14
2026-07-17T16:00:00,mem_percent,72.56428571428572,75.6,75.535,14
2026-07-17T16:00:00,mem_used_mb,11647.552857142857,12133.11,12123.971,14
2026-07-22T17:26:00,cpu_percent,11.384615384615385,23.0,18.73999999999999,13
2026-07-22T17:26:00,disk_percent,84.4,84.4,84.4,13
2026-07-22T17:26:00,disk_used_gb,400.88,400.88,400.88,13
2026-07-22T17:26:00,mem_percent,65.35384615384615,66.0,66.0,13
